Name,Short Description,Year,reference,File Size,File Size (KB),Dataset Variables,Data Type,Topics,Description,Score
A Comprehensive Dataset of Pattern Electroretinograms for Ocular Electrophysiology Research: The PERG-IOBA Dataset,"336 CSV records with 1354 PERG responses (microvolts) from 304 subjects at IOBA. Includes age (years), gender, diagnoses, and visual acuity in logMar scale.",2024,https://doi.org/10.13026/d24m-w054,5.7 MB,5700,"PERG signals (microvolts, multiple per eye), Age, Gender, Diagnoses, Visual acuity (logMAR), Laterality, Visit dates","signal, table","","The PERG-IOBA Dataset provides a comprehensive, high-quality pattern electroretinogram database from 304 subjects evaluated at IOBA, Spain, from 2003–2022. Records include raw signals for both eyes, full clinical and demographic metadata, and are tailored to advance ophthalmic research, facilitate new statistical models, and support diagnostics for central retinal/optic nerve disorders. Data are provided in de-identified CSV files with repeat visit info, offering critical insight for the vision research community.",5
AF Termination Challenge Database,"ECG recordings created for the Computers in Cardiology Challenge 2004, focused on predicting spontaneous termination of atrial fibrillation.",2004,https://doi.org/10.13026/C2CC7Z,2.4 MB,2400,"2-channel ECG, QRS annotations, 1-min segments, Sampling rate: 128 Hz; Record types: Terminating/non-terminating AF groups","signal, table","challenge, atrial fibrillation, ecg","This open-access database contains two-lead, 1-minute ECG segments for atrial fibrillation (AF) prediction, with machine-generated QRS annotations. It is divided into labeled learning/test sets, facilitating development of algorithms for spontaneous AF termination. All signals are derived from 20–24-hour Holter ECGs, supporting the 2004 PhysioNet/CinC challenge and ongoing research in AF detection and prediction.",2
AHA Database Sample Excluded Record,Two ECG signals that were excluded from the 1980 American Heart Association database.,2003,https://doi.org/10.13026/C27P4P,9.2 MB,9200,"2-lead ECG, 3-hour recording (last 30 mins annotated), Beat-by-beat annotations, 250 Hz, 12-bit, 10 mV range","signal, table","american heart association, ecg","This is a two-lead, 3-hour ECG recording excluded from the official AHA database for higher-grade ectopy, now openly available for reference. Data match the acquisition and annotation procedure of AHA standards, with the last 30 minutes beat-annotated. Provides a rare, high-resolution ambulatory ECG for ventricular arrhythmia algorithm testing.",2
A large scale 12-lead electrocardiogram database for arrhythmia study,"A 12-lead electrocardiogram database for arrhythmia research covering more than 10,000 patients.",2022,https://doi.org/10.13026/wgex-er52,5.1 GB,5100000,"12-lead ECG, Raw & denoised, 500 Hz, 10 sec per patient, rhythm and other diagnosis, Age, Gender, SNOMED-CT labels","signal, table","arrhythmia, ecg, machine learning","This database contains 45,152 de-identified, expert-labeled, 12-lead, 10-second ECGs from multiple institutions, designed for population-scale arrhythmia research and development of diagnostic ML tools. Supports both clinical and AI applications with detailed raw, denoised, and annotated data for arrhythmia and cardiac condition classification.",2
A multi-camera and multimodal dataset for posture and gait analysis,Multimodal dataset with 166k samples for vision-based applications with a smart walker used in gait and posture rehabilitation. Equipped with a pair of Depth cameras synced with an inertial MoCap system worn by the participant.,2021,https://doi.org/10.13026/fyxw-n385,19.5 GB,19500000,"Depth camera frames, synchronized inertial MoCap joint angles, skeleton positions, sensor orientation, gait speed, postural data, participant metadata","sequence, table","computer vision, inertial motion capture, smart walker, human pose estimation, gait and posture analysis, depth, rehabilitation, deep learning","A comprehensive multimodal dataset of 14 healthy adults using a robotic smart walker, with detailed depth and inertial motion data at three gait speeds, three walking scenarios, and multiple locations. Enables advanced pose estimation, motion tracking, and gait analysis targeting rehabilitation and robotics.",1
A Multimodal Dataset for Investigating Working Memory in Presence of Music,"A multimodal dataset containing fNIRS data along with a wide range of physiological signals like EDA, HR, PPG, etc over the course of n-back experiments in the presence of music.",2025,https://doi.org/10.13026/6vh4-dk68,1.6 GB,1600000,"fNIRS (oxy/deoxy/saturated Hb), skin conductance, ECG, skin temperature, respiration, PPG, EMG, facial expression scores (de-identified), behavioral response, reaction time","signal, table",,"Multimodal physiological and behavioral recordings during n-back working memory tasks under ""calming"" and ""exciting"" music conditions. Signals include fNIRS, skin conductance, ECG, EMG, respiration, temp, PPG, and behavioral data for comprehensive study of music's regulatory effect on cognitive arousal and performance.",4
A Multi-Modal Satellite Imagery Dataset for Public Health Analysis in Colombia,"Multi-Modal Satellite imagery Dataset in Colombia: A public health analysis with spatiotemporally aligned satellite images and its corresponding metadata across 81 municipalities (2016–2018), facilitating multimodal AI applications.",2024,https://doi.org/10.13026/xr5s-xe24,65.0 GB,65000000,"Spatiotemporally aligned satellite images (Sentinel-2 Bands), municipality ID codes/names, population, age/gender/ethnic demographics, poverty indices, education, employment, water/internet access, hospital/house density, reported dengue cases by epi-week, monthly temp & precipitation (2007–2018), and multiple other sociodemographic and environmental variables","image, table","multimodality, satellite imagery","Comprehensive dataset of 12,636 cloud-minimized satellite images (2016–2018) for 81 Colombian municipalities, aligned with weekly and monthly public health, demographic, economic, and climate metadata. Data supports AI for infectious disease modeling, deforestation, social determinants of health, and spatiotemporal analysis tasks in resource-limited contexts.",2
ANSI/AAMI EC13 Test Waveforms,The files in this set can be used for testing a variety of devices that monitor the electrocardiogram. The recordings include both synthetic and real waveforms.,2003,https://doi.org/10.13026/C2WC7M,1.1 MB,1100,"ECG signals, synthetic waveforms, real waveforms, 720 Hz sampling rate, 12-bit resolution","signal, table","ansi, standard, ecg","A collection of ECG recordings (synthetic and real) at 720 Hz/12-bit, intended for the validation of ECG monitor devices per ANSI/AAMI EC13:2002 US national standard. Files enable waveform and algorithm testing for heart rate, arrhythmia, and alarm detection in clinical monitors.",1
Apnea-ECG Database,Seventy ECG signals with expert-labelled apnea annotations and machine-generated QRS annotations.,2000,https://doi.org/10.13026/C23W2R,580.6 MB,580600,"ECG signals (100 Hz, 16 bit), Apnea annotations (minute-level, expert), QRS annotations (machine), Resp C, Resp A, Resp N, SpO2 (for 8 records)","signal, table","apnea, sleep, multiparameter, challenge, ecg","Contains 70 overnight PSG records (learning/test), each with continuous digitized ECG and minute-wise sleep apnea labels by experts, plus QRS annotations. Eight records include raw respiratory/chest/abdominal/airflow/SpO2 data, supporting apnea and cardiac event research; originally part of the PhysioNet/CinC 2000 Challenge.",1
A Pressure Map Dataset for In-bed Posture Classification,Pressure sensor data captured from 13 participants in various sleeping postures.,2017,https://doi.org/10.13026/C2W09K,102.2 MB,102200,"Pressure maps, 32x64 and 27x64 sensor arrays, 1 Hz, 8–29 sleeping postures per subject, multiple frames","image, table","pressure, sleep, posture, gait",Includes two experiments: 13 adults in 8+9 postures on 32x64 mat; 8 adults in 29 postures on 27x64 mat (both regular and air mattress). Each sample is a spatial matrix of pressure for machine learning in sleep analysis and posture recognition.,3
